[1114/184627.713:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1115/132502.112:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132507.156:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132512.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132517.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132522.192:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132527.217:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132532.232:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132537.242:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132542.259:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132547.286:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132552.305:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132557.328:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132602.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132607.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132612.405:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132617.418:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132622.431:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132627.456:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132632.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132637.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132642.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132645.128:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/132645.309:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/133515.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/133520.142:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/133525.157:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/133530.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/133535.349:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
